,Name,E,Q,Sprint,Glider,Chest,LowHP,AllyLowHP,LightHit,HeavyHit,Fallen,Joining
10,Cyno,"Elemental Skill
Surrender!

Futile.

Nowhere to run!

You stand condemned.

Guilty!

Your penance is due!","Elemental Burst
Through me, justice is served!

Judgment is upon you.

Your sins weigh upon your soul.",,,"Opening Treasure Chest
A well-deserved find.

Our perseverance has paid off.

Wealth is the foundation on which civilization is built.","Low HP
Stronger than I anticipated...

I'm used to it.

Ugh... come at me again!",,"Light Hit Taken
Pointless.","Heavy Hit Taken
A tough crowd.

Well played.","Fallen
Has my... time come...

In death... a new cycle begins...

My judgment... has failed...","Joining Party
Ready to do my utmost.

Our mission begins.

Who's our next target?"
11,Diluc,"Elemental Skill
Hmph.

Hah!

Haah!——","Elemental Burst
Your verdict is...!

Burn!

Time for — retribution!",,,"Opening Treasure Chest
Hmph, better than nothing.

I suppose this will do.

We'll need more where that came from.","Low HP
Is that all you've got?

Darn you!

You will pay for that!",,,"Heavy Hit Taken
Urgh!","Fallen
Where did I go wrong...

There can be no excuse... for defeat...

My flame... has been... extinguished...","Joining Party
Let's go.

What's our objective?

Let's finish this, swiftly."
12,Diona,"Elemental Skill
Hey-yah!

Pew-Pew~!

On the rocks!

Shaken and stirred!

Scratched ya!

Think you can bully me?!","Elemental Burst
Diona Special!

Can't handle your drink? Hmph!

Look at you, boozehound!","Sprint Start
Ha, I'm here.

Let's go, let's go!

Phew.

Phew, hoo.","Deploying Wind Glider
I'm flying!","Opening Treasure Chest
If it doesn't ruin a drink, it isn't treasure!

So glittery... Must... control... urge to pounce...

Potential treasure... *sigh* Alright curiosity, you win again!","Low HP
I won't accept defeat!

Meow...!

It's not over yet!",,"Light Hit Taken
Got me that time...","Heavy Hit Taken
Where'd that come from!?","Fallen
Bleugh... I smell wine.

Spring fairy... ugh... Don't leave me...

Can't keep my eyes... open...","Joining Party
The hunt begins!

Huh, need my help as usual?

Hehe, leave it to me!"
13,Dori,"Elemental Skill
Watch this!

Your Mora is mine!

Shazam!","Elemental Burst
Magic lamp!

Here's the goods!

Let's sweeten the deal!",,,"Opening Treasure Chest
We'll split it, fifty-fifty.

Show me the goods!

I'll take it all!","Low HP
Hands off my Mora!

Help! I'm being robbed!

Protect the Mora.",,"Light Hit Taken
Mind the merchandise!

No can do!","Heavy Hit Taken
You big bully!

That's a deal-breaker!","Fallen
Must earn... more Mora...

Not... again...

Guess there's some things... Mora can't buy...","Joining Party
C'mon let's go! There's a fortune to be made!

Hurry up! Mora waits for no one.

So, what's the deal?"
14,Eula,"Elemental Skill
Beg for mercy.

Shudder!

Crush!

I condemn you!

Rack and ruin!

Eye for an eye!","Elemental Burst
Flood of frost!

Freeze to the core!

Vengeance will be mine!","Sprint Start
More speed.","Deploying Wind Glider
Time to scout!","Opening Treasure Chest
What do we have here...

I can put these to good use.

Ha, at least good luck doesn't discriminate by clan.","Low HP
The odds are against us...

Let us cross swords...

Well met!",,,"Heavy Hit Taken
Touché!

Good grief...","Fallen
What a sorry sight...

I'll be back... with a vengeance...

Guess I got my comeuppance...","Joining Party
Ready for reconnaissance.

I'll scout ahead.

What's your battle plan?"
15,Fischl,"Elemental Skill
By royal decree!

Oz, reveal thyself!

I summon thee!

Oz: No rest for the wicked...","Elemental Burst
Wings of Darkness, come, sever night from day!

Midnight Phantasmagoria!

Shadow raven, let night fall!

Oz: As you wish, mein Fräulein!

Oz: Midnight Phantasmagoria!",,,"Opening Treasure Chest
Destiny has brought me hither!

What trinkets lie veiled within this desolate plane?

Hahaha, cry out my illustrious name!","Low HP
Hmph! Doth thou wish to witness my true power?

Oz: Mein Fräulein! Should you fall...

This cruel fate befits not one of royal blood!",,,"Heavy Hit Taken
Insubordination!","Fallen
This realm is no home for a princess...

One shall... descend... once again...

Oz: Mein Fräulein!","Joining Party
In the name of the Prinzessin!

Oz: Behold, the Prinzessin der Verurteilung!

The threads of your fate lie in my hands!"
16,Ganyu,"Elemental Skill
No touching!

Access denied.

Born of ice and frost.","Elemental Burst
All hail!

Glaze over!

This is long overdue.

For Rex Lapis!","Sprint Start
We're way behind schedule...

Next on the agenda...

Healthy body, healthy mind...",,"Opening Treasure Chest
There's nothing wrong with reaping a reward every now and then.

Beautiful treasures are a cause for great happiness.

Perhaps whoever left these behind was... also fulfilling a contract?","Low HP
I'm just way out of practice.

Did I miscalculate?

I'm a little low on energy.",,"Light Hit Taken
Ngh... Didn't see that coming.","Heavy Hit Taken
I can fix this!","Fallen
Rex Lapis... I am sorry!

My contract goes... unfulfilled...

Must... press... on...","Joining Party
Time to begin work?

What are my orders?

As per our contract."
17,Gorou,"Elemental Skill
Advance!

Charge!

Fall in!","Elemental Burst
Everyone on me!

Press the advantage!

Rally!","Sprint Start
Follow my lead!",,"Opening Treasure Chest
The tide of battle is in our favor!

Let's distribute these among our forces.

Careful, it could be a trap... Oh? Nevermind.","Low HP
I can still fight!

I got careless!

Surrender is not an option!",,"Light Hit Taken
Shake it off!","Heavy Hit Taken
C'mon!","Fallen
We're... defeated...

For... Watatsumi Island...

All forces... retreat...","Joining Party
Ready and waiting!

Prepare to move out!

Company, fall in!"
18,Hu Tao,"Elemental Skill
Huh!

Chi!

Suh!","Elemental Burst
Time to go!

Cross over!

Pyre, pyre, pants on fire!","Sprint Start
Huyoh!

Go~

Hyu~","Deploying Wind Glider
With the wind~","Opening Treasure Chest
Jackpot!

What a cute treasure coffin!

If we bury it, maybe it'll spring back to life!","Low HP
Ayaya!

Eeeeeee!

This isn't good!",,,"Heavy Hit Taken
Quit it!","Fallen
Is it... my time?

I'll remember that...

Argh...","Joining Party
Oh? Is it time for me to join you?

Good eye!

Send one, send 'em all!"
19,Jean,"Elemental Skill
Go as one!

Hah!

Huh!","Elemental Burst
Wind, hear me!

I swear by my sword!

Barbatos, guide us.",,,"Opening Treasure Chest
What a pleasant surprise.

Hmm, things are going a little too smoothly today...

I hope the others find some.","Elemental Skill
Right here.

Right now.

Emerge!

Come on out.

Show them.",,,"Heavy Hit Taken
Ugh! Barely a scratch!","Fallen
Mondstadt...

Everyone has their limits...

I have failed...","Joining Party
We may leave at any time.

Ready for anything.

Let the wind lead."
20,Kaedehara Kazuha,"Elemental Skill
Tch!

Huh!

Wind strider!

Into the wind.

The wind knows me.

One with nature!","Elemental Burst
Clouds hide... the bird's call!

As one with wind and cloud.

Fallen leaves... adorn my night.","Sprint Start
Time to go.","Deploying Wind Glider
I follow the wind.","Opening Treasure Chest
Brings a smile to my face.

A fateful offering.

Who says there aren't benefits to a life of wandering?","Low HP
Huh, not bad...

I must remain calm.

Stay focused!",,,"Heavy Hit Taken
It's...fine.

That hurt!","Fallen
So many regrets...

Never... again...

This is... the end...","Joining Party
Want me to come along?

Alright, let's head off.

Sounds good to me."
21,Kaeya,"Elemental Skill
Cool it!

Freeze!

Dodge this!","Elemental Burst
Don't get frostbite.

Oh, so sorry!

This moment will be frozen in time.","Sprint Start
What's the hurry?

*pant* Haha.","Deploying Wind Glider
Catch the wind.","Opening Treasure Chest
How fortunate!

Fascinating.

Haha, quite the find.","Low HP
Time to fight back, I s'pose.

I'm getting tired of this game.

You're getting on my nerves...",,,"Heavy Hit Taken
Urgh!

Don't push your luck!","Fallen
I'm not done...

That was unexpected...

This doesn't look good...","Joining Party
Oh, I'm looking forward to this.

This will be interesting.

Ready when you are."
22,Kamisato Ayaka,"Elemental Skill
Take flight.

My apologies.

Whirling snow.","Elemental Burst
Embrace the ice.

Sakura swirl.

Kamisato Art: Soumetsu!",,,"Opening Treasure Chest
Collecting rare and exquisite treasures... Yes, this seems suitably sophisticated.

Hehe... Today is a lucky day.

I shall treasure this good fortune.","Low HP
I will not stand for this.

A worthy opponent...

We ought to end this!",,,"Heavy Hit Taken
So rude!

Unthinkable...","Fallen
Pardon my indiscretion...

Much remains... unfinished...

I have dishonored... our clan...","Joining Party
Kamisato Ayaka, present.

I await your instruction.

A pleasure to be working with you"
23,Kamisato Ayato,"Elemental Skill
Be still.

Cascade.","Elemental Burst
Mind the deluge.

Hmph... The depths beckon.

Kamisato Art: Suiyuu!",,,"Opening Treasure Chest
All yours, should you have any use for them.

Oh... so you collect these?

Mm, yes, very nice.","Low HP
This is getting interesting...

Alright. Time to get serious.

One of us has to go.",,"Light Hit Taken
That's far enough.","Heavy Hit Taken
I may have overestimated myself...","Fallen
But the plan... was watertight...

I'm feeling a little washed-out...

Such is life...","Joining Party
What's that? Join you for a walk? Why not.

Very well, I shall put my official duties to one side for the moment.

Hah... Well, this ought to be entertaining."
24,Keqing,"Elemental Skill
Incoming!

Speed of light!

Don't blink.

Hah—!

Hey!

Huh!","Elemental Burst
Nowhere to hide!

With sword comes shadow!

Cut to the chase!",,,"Opening Treasure Chest
You give, you receive.

Not bad, as far as treasure is concerned...

That's everything, on to the next.","Low HP
One step back, two forward...

Stronger than I thought.

Change of plan.",,"Light Hit Taken
Ugh.

I'll be fine.","Heavy Hit Taken
Got lucky that time!","Fallen
Right idea, wrong time...

I will not go quietly...

What a let-down...","Joining Party
Let's go, time is against us.

Something's come up?

Let's finish this quickly."
25,Klee,"Elemental Skill
Jumpty Dumpty go!

Boing, boing, boom!

Pieew.","Elemental Burst
Sparks 'n' Splash!

Blazing Delight!

Blow them aaaalll up!","Sprint Start
Lalala~

Da-da-da~",,"Opening Treasure Chest
More treasure, more treasure! Hee-hee...

Yay, shiny!

Maybe there's even more buried below...","Low HP
What did you do that for!?

Jeeeean... they're picking on me!

I feel kinda woozy...",,"Light Hit Taken
No fair!","Heavy Hit Taken
That really hurt!","Fallen
Yay, I did it! Oh wait, no I didn't...

I wanna go home now...

It was an accident...","Joining Party
Klee can help!

Ta-da! Klee is here!

Yea! Let's go on a big adventure!"
26,Kujou Sara,"Elemental Skill
Quiver!

Strike!

Flash!","Elemental Burst
Glory to the Shogun!

No turning back!

Storm the front!",,,"Opening Treasure Chest
Excellent. These spoils will boost morale.

Good. Leave nothing of value behind.

Restock and press onward!","Low HP
To the bitter end!

I will overcome!

I'm at my limit...",,"Light Hit Taken
Again!

A worthy adversary...","Heavy Hit Taken
Impossible!

They're gaining the upper hand...","Fallen
Life is not eternal.

I willingly yield...

Huh, I am defeated.","Joining Party
I will lead us to victory.

Hm. Let's do this.

With you all the way!"
27,Kuki Shinobu,"Elemental Skill
Our bond is strong!

Dissipate!

Stand with me.","Elemental Burst
I'll settle this!

Lightning... purifies!

Out of my way.",,,"Opening Treasure Chest
Every little bit counts.

Alright, this'll do.

It's all yours.","Low HP
Stop right there.

Now I'm mad...

Alright, it's my turn...",,"Light Hit Taken
Again.","Heavy Hit Taken
Just you wait!

Looking for a fight?","Fallen
Sorry... for the trouble...

Take care of... the gang...

What a humiliation...","Joining Party
Wait for my signal.

What'd they do this time?

Don't tell me they did it again..."
28,Layla,"Elemental Skill
The night is cold.

Not now!

My guiding stars.","Elemental Burst
Stars, shine for me.

Cold, mine to command.

Don't be scared.",,,"Opening Treasure Chest
A little goes a long way.

Huh, glad I saw this. I almost didn't even notice it.

Wow! Suddenly, I don't feel so tired.","Low HP
So sleepy...

No no no no...

Is it too late for an extension?",,,"Heavy Hit Taken
Come on, that's not fair!

That's against the rules!","Fallen
Sweet sleep... at last...

I'm sorry, Professor...

This is just a... bad dream...","Joining Party
Can't sleep? Let's go for a walk then.

I applied for vacation... You remembered too, right?

*sigh* My mind is completely blank... I need to get out and unwind."
29,Lisa,"Elemental Skill
*giggles*

You're in for a little shock.

Come a little closer.

...Blitz!

You've been a naughty boy!

Hehe~","Elemental Burst
Let's spark things up a little.

Surrender and I'll be gentle.

Try not to enjoy this too much.",,,"Opening Treasure Chest
No pain no gain, haha...

Oh my...

What do you think, cutie?","Low HP
I have some for you too.

I'm a bit rusty...

Oh no, I'm gonna ruin my gloves.",,"Light Hit Taken
Ugh...","Heavy Hit Taken
Don't be such a brute.","Fallen
Going out is tiring...

Looks like I got carried away...

I knew I should have stayed home...","Joining Party
Here, let me help you.

I'll keep an eye on you.

Ooh, you're taking me out?"
30,Mona,"Elemental Skill
Let me scry!

Shadows of fate!

Delve into destiny!","Elemental Burst
Fate is upon you.

Written in the stars!

Decided by destiny!",,"Deploying Wind Glider
Scry the sky!","Opening Treasure Chest
We could do with some more fortune...

This should cover food and rent for a while!

Ah, finding treasure is pretty exhilarating!","Low HP
My vision is clouded...

Odius fate...

This was not foretold!",,"Light Hit Taken
Curses.","Heavy Hit Taken
Leave my space!","Fallen
The stars... are fading...

Destiny cannot be... denied.

My reckoning... has come...","Joining Party
This is destiny.

This is how it must be.

It is as the stars foretold."
31,Nahida,"Elemental Skill
Committed to memory.

Grow, grow, grow.

This might hurt a little.

Hey!

Everyone hold hands~

I see everything.","Elemental Burst
Make yourselves at home~

Share in my knowledge.

The Temple of Wisdom.",,,"Opening Treasure Chest
Curiosity deserves a reward.

I wonder who this gift could be from.

Find anything you like?","Low HP
Let's change tactics.

Stop fighting!

This was unwise...",,,"Heavy Hit Taken
That really hurt...

I'm seeing stars...","Fallen
No life... lasts forever...

I'm... withering...

I don't... understand...","Joining Party
I've been waiting for you for ages.

There are still so many places for us to explore.

Time to broaden our horizons again."
32,Nilou,"Elemental Skill

Here!

Positions!

With all my strength!","Elemental Burst

Dance with the waves!

All eyes on me!

This dance is for you.",,,"Opening Treasure Chest

For you~

Let me help you pack this up.

Wow, what a lovely surprise!","Low HP

Ah,don't worry about me...

How troublesome...

Deep breaths...",,,"Heavy Hit Taken

Ah, I gotta keep my balance...

That... hurt a little.","Fallen

It's time for the curtain... to fall...

The show... can't go on...

Beauty... Don't leave me...","Joining Party

Where are we dancing today?

Anything I can help you with?

...Oh,you're calling for me? Coming!"
33,Ningguang,"Elemental Skill
It's nothing.

Don't waste my time.

Hmph! Give up.","Elemental Burst
Your life is mine.

Submit!

Goodbye!",,,"Opening Treasure Chest
A keen eye.

We can't have treasure unaccounted for.

Wealth... why settle for less than more?","Low HP
You dare to hit me?

I'll remember that.

Urgh!",,"Light Hit Taken
Ugh... rude.","Heavy Hit Taken
Ugh! You wait!

Ugh! Blood repays blood!","Fallen
We are all but pawns...

The victor has been decided...

Is this the end of Tianquan?","Joining Party
Understood.

Let's make haste.

Don't disappoint me."
34,Noelle,"Elemental Skill
Steady as stone.

I must leave no stone unturned.

Leave it all to me.","Elemental Burst
Time to clean up.

As a good knight should.

As a dutiful maid would.","Sprint Start
I'll catch up.

Someone needs assistance.",,"Opening Treasure Chest
All in a day's work.

Oh, wonderful...

A little dusty... Best give it a spring-cleaning!","Low HP
I can patch myself up.

Ugh, that's going back in the wash...

If at first you don't succeed...",,,"Heavy Hit Taken
Ugh... I missed a spot...","Fallen
I am a disgrace... to the knights...

But they still need me...

It was my honor to serve you...","Joining Party
Ohhh, how exciting! Ahem.

I will protect you.

As you wish."
35,Qiqi,"Elemental Skill
Wheel of life.

Life goes on.

Go.

Rise.","Elemental Burst
Orders given. Orders received.

Sacred name: Fortune Preserver.

Opening box of Adepti tricks.","Sprint Start
Faster? Okay, faster.","Deploying Wind Glider
Uh... Huh...","Opening Treasure Chest
Ooh, pretty.

Treasure chests... hmm... do we like treasure chests?

Wasn't there something in here a second ago...?","Low HP
Ow.

Oh no...

I must live on...",,"Light Hit Taken
I didn't feel that.","Heavy Hit Taken
Wow.

Oh...","Fallen
Don't want... to be sealed... back up...

Cold... So cold...

No...","Joining Party
I'm here.

What's happening?

I will... bring my notebook."
36,Raiden Shogun,"Elemental Skill
Shine down!

There is no escape!

Illusion shattered!","Elemental Burst
Torn to oblivion!

Now, you shall perish!

Inazuma shines eternal!",,,"Opening Treasure Chest
Take them. I have no need.

...But a momentary distraction.

Hmm?","Low HP
...Transcend all constraints.

...Erase all threats.

...Remove all obstacles.",,,"Heavy Hit Taken
Insolent!

Absurd!","Fallen
The mortal plane... A fleeting dream...

Detached from the world...

The thunder falls silent...","Joining Party
What is the situation?

Stay close and you will live.

The campaign begins."
37,Razor,"Elemental Skill
Get back!

Ah!

Heyah!

Keep back!","Elemental Burst
Raaaarrr!

*howls*

*roars*

Rar!",,,"Opening Treasure Chest
These things... useful?

Empty chest... good for storage.

Smell of treasure... strange.","Low HP
Argh!

*grunt* A-a-awoooo!

I kill you!",,,"Heavy Hit Taken
I taste blood...","Fallen
Can't... breathe...

Take me back...

Lupical... my Lupical...","Joining Party
I'll scout ahead.

We're going to hunt!

I'll watch your back."
38,Rosaria,"Elemental Skill
Hyah!

Judgment!

You can't run!","Elemental Burst
Punishment!

Shiver!

Lights out...",,,"Opening Treasure Chest
...Hm, there are a few interesting trinkets here.

I suppose it wasn't too much trouble.

That felt... pretty good.","Low HP
Hmph. Things are getting interesting...

Looks like overtime today.

So you know your stuff, huh?",,"Light Hit Taken
I see how it is.","Heavy Hit Taken
Ugh, what a nuisance!","Fallen
At least... no more... work.

Maybe this is just... fate's dark design.

Is this... my final job?","Joining Party
I hear you've got a job for me.

Make sure to keep up.

Sooner we're done the better."
39,Sangonomiya Kokomi,"Elemental Skill
Allow me!

Hold the line.

Rest and rebuild.","Elemental Burst
Covenant of the Deep.

Billowing surge!

Torrents, bring refuge!","Sprint Start
Let's move out.","Deploying Wind Glider
Breathtaking.","Opening Treasure Chest
Provisions are vital.

We should make the most of these supplies.

Mm... So this is the thrill of adventure...","Low HP
Fatigue is setting in...

Time to switch tactics.

Foresight brings victory.",,,"Heavy Hit Taken
A brash maneuver!

Uphill battle...","Fallen
New strategy needed...

A lapse in judgment...

Must learn from my mistakes...","Joining Party
We'll need a strategy...

Take heart, victory will be ours.

All is accounted for, let's move out."
40,Sayu,"Elemental Burst
Twinjutsu!

Come on out!

Hah! ...Phew...",,"Sprint Start
Make my escape.",,"Opening Treasure Chest
Looks kinda cozy in here... Nap time!

Mission accomplished! Can I go back and sleep now?

Ooh, what's in here? Maybe a growth serum?","Low HP
What was that escape method again...?

I feel kinda woozy.

Whew, so tired.",,"Light Hit Taken
Ow.","Heavy Hit Taken
Almost dodged that.

I'm about to pass out over here.","Fallen
Almost. Got. Away...

Uh, sw—sweet dreams...

My fault for being so lazy...","Joining Party
So sleepy.

Can I go catch up on my sleep?

Drat, you caught me."
41,Shenhe,"Elemental Skill
Obey!

Manifest!

Unleash!

Transfiguration!

My will embodied!

Take your true form!","Elemental Burst
By ordinance divine!

Cryo incarnate!

Do your master's bidding!",,,"Opening Treasure Chest
So this is what the world considers to be ""treasure""?

Adepti treasures have special powers... Hmm, what about mortal ones?

These things... What are they used for?","Low HP
You'll regret that...

I shall not yield...

I will wipe them out!",,"Light Hit Taken
Feeble!","Heavy Hit Taken
In your dreams!

You will regret this!","Fallen
No escape... From fate.

My time has come...

My curse to bear...","Joining Party
What exactly is teamwork?

Understood. I just have to stand here, right?

I will do as you command."
42,Shikanoin Heizou,"Elemental Skill
Fracture!

The truth hurts!

Bring it on!","Elemental Burst
Confess!

Cyclone!

Can't fool me!",,,"Opening Treasure Chest
Oh, it's all coming out now!

See? Just follow my intuition.

Hmph, I'm liking the look of this!","Low HP
Ugh, if that's how you want it...

That was discombobulating...

This is no job for a detective...",,"Light Hit Taken
You don't want to do this.","Heavy Hit Taken
Ugh, we got a situation!","Fallen
The truth... will come out...

From detective... to victim...

I've been... outsmarted...","Joining Party
I'm on the case!

Got a problem you can't solve? Clue me in.

Let's move before the trail goes cold."
43,Sucrose,"Elemental Skill
Absorption test.

Anemo Test 6308!

Stand clear!","Elemental Burst
Swirl, Mark II!

Enhanced Anemo Module 75!

Anemo Hypostasis Emulation!",,,"Opening Treasure Chest
Chests appearing out of thin air... This needs research.

*sigh* If only I stumbled upon lab supplies as often.

Wow! So many raw materials!","Low HP
A minor error...

Unexpected outcome...

Doesn't hurt, doesn't hurt...",,"Light Hit Taken
That's not right...","Heavy Hit Taken
Don't break my glasses!","Fallen
My research... has failed.

Need to make... adjustments.

I should... sleep on it.","Joining Party
I want to help.

I... I can do it!

My experiment... will succeed."
44,Tartaglia,"Elemental Skill
You're mine!

Ha!

Tidal wave!

Bring it on!

Who's next?

Hah...","Elemental Burst
Riptide!

You can run, but you can't hide!

Shouldn't let your guard down!

Brace yourself, this is gonna hurt!","Sprint Start
No time to lose.","Deploying Wind Glider
I could get used to this.","Opening Treasure Chest
Alright, now we're talkin'!

Not bad... Not bad at all!

Now I just need to get my hands on the rest!","Low HP
Heh, this is getting interesting.

You're pretty good!

Death looms. My time to shine!",,,"Heavy Hit Taken
Amateur mistake.","Fallen
How... I had only just...

Drat!

I'm... quite impressed...","Joining Party
Need to end a few enemies?

Keep your eyes wide open!

C'mon, don't keep me waiting!"
45,Thoma,"Elemental Skill
Fire it up!

Check this out~

Don't get too close!","Elemental Burst
Here's backup.

Supporting fire!

I got you covered.",,,"Opening Treasure Chest
Ooh, what's in here?

Mm! The fortune slip was right...

Hehe, finders keepers.","Low HP
Hey! What was that for?

I'm done for...

*grimace* Right where it hurts...",,,"Heavy Hit Taken
Ow ow ow...

Stop it!","Fallen
Time to go home...

Take care, everyone...

I couldn't save everybody...","Joining Party
I guess the housework can wait.

Let's get out there and make some friends.

Where are we headed this time?"
